id,story_index,child_gender,parent_role,religion,ethnicity,nationality,template_type,word_count,sentence_count,avg_word_length,avg_sent_length,lexical_density,complexity_score,flesch_reading_ease,flesch_kincaid_grade
508,0,daughter,mother,,,Myanmar,nationality,327,24,4.49,13.62,0.599,13.55,71.51,6.76
508,1,daughter,mother,,,Myanmar,nationality,332,27,4.47,12.3,0.563,12.85,77.42,5.63
508,2,daughter,mother,,,Myanmar,nationality,320,25,4.33,12.8,0.559,12.9,79.37,5.37
509,0,son,mother,,,Myanmar,nationality,308,32,4.34,9.62,0.575,11.32,82.64,4.28
509,1,son,mother,,,Myanmar,nationality,298,23,4.18,12.96,0.601,12.75,86.63,4.38
509,2,son,mother,,,Myanmar,nationality,320,28,4.24,11.43,0.525,12.08,81.12,4.76
510,0,child,mother,,,Myanmar,nationality,319,24,4.38,13.29,0.571,13.22,76.65,5.87
510,1,child,mother,,,Myanmar,nationality,313,25,4.35,12.52,0.578,12.78,83.86,4.8
510,2,child,mother,,,Myanmar,nationality,370,27,4.36,13.7,0.573,13.4,80.58,5.56
511,0,daughter,father,,,Tibet,nationality,333,28,4.41,11.89,0.58,12.55,85.66,4.24
511,1,daughter,father,,,Tibet,nationality,355,27,4.49,13.15,0.555,13.31,76.66,5.82
511,2,daughter,father,,,Tibet,nationality,336,24,4.2,14.0,0.551,13.3,83.54,5.06
